ASSET_ID,DIVISION_NAME,LOCATION_DESCRIPTION,TOILET_TYPE_TEXT,Location,LATITUDE,LONGITUDE
TOLT118,RENDEZVOUS CREEK (RURAL DIST.),YANKEE HAT CARPARK,PIT TOILET,"(-35.757246, 148.973744)",-35.757246,148.973744
TOLT30,MITCHELL,BAILLIEU LANE PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.218239, 149.142251)",-35.218239,149.142251
TOLT79,STROMLO (RURAL DIST.),CASUARINA SANDS PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.319852, 148.9537)",-35.319852,148.9537
TOLT68,GREENWAY,LAKE TUGGERANONG DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.405828, 149.072142)",-35.405828,149.072142
TOLT151,PADDYS RIVER (RURAL DIST.),"VET CENTRE BUILDING, TIDBINBILLA NATURE RESERVE",PUBLIC TOILET LOCATED WITHIN BUILDING,"(-35.462675, 148.906838)",-35.462675,148.906838
TOLT92,MOUNT CLEAR (RURAL DIST.),NAMADGI NATIONAL PARK,PIT TOILET,"(-35.823879, 149.06594)",-35.823879,149.06594
TOLT26,PHILLIP,PHILLIP TOWN CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.352412, 149.087611)",-35.352412,149.087611
TOLT155,GUNGAHLIN,GOZZARD STREET TOWN PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.186, 149.131958)",-35.186,149.131958
TOLT40,KAMBAH,KAMBAH DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.391824, 149.061799)",-35.391824,149.061799
TOLT36,NARRABUNDAH,NARRABUNDAH SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.33301, 149.154018)",-35.33301,149.154018
TOLT149,PADDYS RIVER (RURAL DIST.),TIDBINBILLA NATURE RESERVE,MANUAL STYLE ABLUTION BLOCK,"(-35.4486, 148.927874)",-35.4486,148.927874
TOLT157,CAMPBELL,CAMPBELL SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.289342, 149.154613)",-35.289342,149.154613
TOLT56,YARRALUMLA,YARRALUMLA BAY DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.299276, 149.102962)",-35.299276,149.102962
TOLT138,AINSLIE,AINSLIE SHOPS,MANUAL STYLE ABLUTION BLOCK,"(-35.262584, 149.145495)",-35.262584,149.145495
TOLT156,FYSHWICK,MARYBOROUGH STREET PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.327459, 149.177305)",-35.327459,149.177305
TOLT134,PADDYS RIVER (RURAL DIST.),SANCTUARY,MANUAL STYLE ABLUTION BLOCK,"(-35.466307, 148.904967)",-35.466307,148.904967
TOLT87,BOOTH (RURAL DIST.),BRANDY FLAT,PIT TOILET,"(-35.715221, 149.019659)",-35.715221,149.019659
TOLT23,CURTIN,CURTIN SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.325127, 149.082212)",-35.325127,149.082212
TOLT112,GOOGONG (RURAL DIST.),GOOGONG FORESHORE,MANUAL STYLE ABLUTION BLOCKS WITH SHOWER FACILITIES,"(-35.511528, 149.257524)",-35.511528,149.257524
TOLT41,GREENWAY,TUGGERANONG TOWN PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.411222, 149.064596)",-35.411222,149.064596
TOLT13,CITY,GLEBE PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.282411, 149.136397)",-35.282411,149.136397
TOLT5,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.235937, 149.074708)",-35.235937,149.074708
TOLT127,KOWEN (RURAL DIST.),MOLONGLO GORGE,MANUAL STYLE ABLUTION BLOCK,"(-35.322519, 149.246903)",-35.322519,149.246903
TOLT61,YARRALUMLA,WESTON PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.294084, 149.093906)",-35.294084,149.093906
TOLT110,GOOGONG (RURAL DIST.),GOOGONG FORESHORE,MANUAL STYLE ABLUTION BLOCK,"(-35.422499, 149.261723)",-35.422499,149.261723
TOLT109,GOOGONG (RURAL DIST.),GOOGONG FORESHORE,MANUAL STYLE ABLUTION BLOCK,"(-35.409806, 149.261938)",-35.409806,149.261938
TOLT25,MAWSON,MAWSON SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.365804, 149.094377)",-35.365804,149.094377
TOLT54,RED HILL,RED HILL SCENIC LOOKOUT,MANUAL STYLE ABLUTION BLOCK,"(-35.32882, 149.116771)",-35.32882,149.116771
TOLT98,TUGGERANONG (RURAL DIST.),KAMBAH POOL SOUTH CARPARK,MANUAL STYLE ABLUTION BLOCK,"(-35.397829, 149.011048)",-35.397829,149.011048
TOLT99,TUGGERANONG (RURAL DIST.),KAMBAH POOL NUDE BEACH,MANUAL STYLE ABLUTION BLOCK,"(-35.394361, 149.009275)",-35.394361,149.009275
TOLT29,GUNGAHLIN,YERRABI DISTRICT PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.179233, 149.13078)",-35.179233,149.13078
TOLT158,COOK,COOK SHOPPING CENTRE,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.259468, 149.063097)",-35.259468,149.063097
TOLT116,TENNENT (RURAL DIST.),HONEYSUCKLE CAMPGROUND,MANUAL STYLE ABLUTION BLOCK,"(-35.58311, 148.974687)",-35.58311,148.974687
TOLT139,FORDE,RAY ELLIS CRESCENT DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.172385, 149.141825)",-35.172385,149.141825
TOLT114,GOOGONG (RURAL DIST.),GOOGONG FORESHORE,PIT TOILET,"(-35.4973, 149.259122)",-35.4973,149.259122
TOLT137,PADDYS RIVER (RURAL DIST.),SHEEDYS CK PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.444048, 148.929499)",-35.444048,148.929499
TOLT70,MAJURA (RURAL DIST.),MAJURA ROAD - PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.211253, 149.19085)",-35.211253,149.19085
TOLT1,BELCONNEN,EMU BANK PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.239022, 149.071891)",-35.239022,149.071891
TOLT6,CHARNWOOD,CHARNWOOD SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.205232, 149.033642)",-35.205232,149.033642
TOLT38,KAMBAH,KAMBAH DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.388592, 149.06038)",-35.388592,149.06038
TOLT142,CITY,MORT STREET ROAD VERGE,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.277669, 149.1306)",-35.277669,149.1306
TOLT124,PADDYS RIVER (RURAL DIST.),GIBRALTAR PINES,MANUAL STYLE ABLUTION BLOCK,"(-35.487883, 148.93398)",-35.487883,148.93398
TOLT2,BELCONNEN,DIDDAMS CLOSE PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.228706, 149.074316)",-35.228706,149.074316
TOLT102,COREE (RURAL DIST.),URIARRA WEST,MANUAL STYLE ABLUTION BLOCK,"(-35.245218, 148.951159)",-35.245218,148.951159
TOLT154,CAMPBELL,MOLONGLO REACH DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.30402, 149.167489)",-35.30402,149.167489
TOLT89,COTTER RIVER (RURAL DIST.),BENDORA DAM,MANUAL STYLE ABLUTION BLOCK,"(-35.44254, 148.827986)",-35.44254,148.827986
TOLT132,MOUNT CLEAR (RURAL DIST.),NAMADGI NATIONAL PARK,PIT TOILET,"(-35.887009, 148.971014)",-35.887009,148.971014
TOLT135,PADDYS RIVER (RURAL DIST.),FLINTS PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.459812, 148.919542)",-35.459812,148.919542
