ASSET ID,LOCATION,LOCATION DESCRIPTION,BBQ TYPE,Location 1,LATITUDE,LONGITUDE
BBQ245,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326044, 148.947649)",-35.326044,148.947649
BBQ377,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325044, 148.948567)",-35.325044,148.948567
BBQ319,Coree (Rural Dist.),Uriarra West Shelter 3,Wood,"(-35.246111, 148.951424)",-35.246111,148.951424
BBQ218,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325993, 148.946639)",-35.325993,148.946639
BBQ207,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326106, 148.946114)",-35.326106,148.946114
BBQ261,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.326471, 148.939634)",-35.326471,148.939634
BBQ324,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326076, 148.946283)",-35.326076,148.946283
BBQ317,Coree (Rural Dist.),Uriarra West,Wood,"(-35.245565, 148.95164)",-35.245565,148.95164
BBQ312,Coree (Rural Dist.),Swamp Creek,Wood,"(-35.24295, 148.951187)",-35.24295,148.951187
BBQ254,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.326844, 148.94068)",-35.326844,148.94068
BBQ518,Greenway,Pine Island Reserve,Electric,"(-35.427443, 149.061551)",-35.427443,149.061551
BBQ250,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.248429, 148.952437)",-35.248429,148.952437
BBQ350,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.250238, 148.951336)",-35.250238,148.951336
BBQ246,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325953, 148.948074)",-35.325953,148.948074
BBQ375,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.249009, 148.952509)",-35.249009,148.952509
BBQ455,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326045, 148.947611)",-35.326045,148.947611
BBQ517,Greenway,Pine Island Cetral,Electric,"(-35.427453, 149.061549)",-35.427453,149.061549
BBQ242,Kowen (Rural Dist.),Molonglo Gorge Nature Reserve,Gas,"(-35.327904, 149.248579)",-35.327904,149.248579
BBQ325,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325206, 148.948416)",-35.325206,148.948416
BBQ347,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326049, 148.946395)",-35.326049,148.946395
BBQ265,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.3255, 148.948453)",-35.3255,148.948453
BBQ126,Barton,Bowen Park,Electric,"(-35.30815, 149.13975)",-35.30815,149.13975
BBQ489,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.290285, 148.876164)",-35.290285,148.876164
BBQ216,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325979, 148.947908)",-35.325979,148.947908
BBQ454,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326078, 148.947488)",-35.326078,148.947488
BBQ221,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326019, 148.946517)",-35.326019,148.946517
BBQ252,Coree (Rural Dist.),Uriarra West Shelter 1,Wood,"(-35.244356, 148.950994)",-35.244356,148.950994
BBQ257,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.327194, 148.938837)",-35.327194,148.938837
BBQ359,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.249817, 148.951811)",-35.249817,148.951811
BBQ326,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325306, 148.948608)",-35.325306,148.948608
BBQ184,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325865, 148.947031)",-35.325865,148.947031
BBQ174,Coree (Rural Dist.),Uriarra West Shelter 2,Wood,"(-35.244833, 148.951009)",-35.244833,148.951009
BBQ256,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.326648, 148.940554)",-35.326648,148.940554
BBQ352,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326155, 148.947274)",-35.326155,148.947274
BBQ185,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325005, 148.948613)",-35.325005,148.948613
BBQ160,Kowen (Rural Dist.),Molonglo Gorge Picnic Area,Gas,"(-35.328583, 149.24971)",-35.328583,149.24971
BBQ255,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.326835, 148.940113)",-35.326835,148.940113
BBQ253,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.248608, 148.952741)",-35.248608,148.952741
BBQ173,Coree (Rural Dist.),Uriarra West Shelter 2,Wood,"(-35.244834, 148.950978)",-35.244834,148.950978
BBQ376,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.249324, 148.952065)",-35.249324,148.952065
BBQ354,Stromlo (Rural Dist.),Uriarra East,Wood,"(-35.246477, 148.953331)",-35.246477,148.953331
BBQ176,Coree (Rural Dist.),Uriarra West,Wood,"(-35.245402, 148.951605)",-35.245402,148.951605
BBQ211,Coree (Rural Dist.),Uriarra West,Wood,"(-35.245856, 148.95178)",-35.245856,148.95178
BBQ269,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.32521, 148.948702)",-35.32521,148.948702
BBQ487,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289515, 148.875873)",-35.289515,148.875873
BBQ263,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325916, 148.946911)",-35.325916,148.946911
BBQ142,Kowen (Rural Dist.),Molonglo Gorge Nature Reserve,Gas,"(-35.322216, 149.246546)",-35.322216,149.246546
BBQ262,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.32622, 148.939749)",-35.32622,148.939749
BBQ477,Barton,Bowen Park,Electric,"(-35.308015, 149.139931)",-35.308015,149.139931
BBQ260,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.32704, 148.939776)",-35.32704,148.939776
BBQ214,Coree (Rural Dist.),Cotter Campground,Electric,"(-35.326278, 148.945923)",-35.326278,148.945923
BBQ323,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326089, 148.947456)",-35.326089,148.947456
BBQ237,Kowen (Rural Dist.),Old Kowen Homestead,Gas,"(-35.288799, 149.287211)",-35.288799,149.287211
BBQ266,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325808, 148.947232)",-35.325808,148.947232
BBQ258,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.327469, 148.93887)",-35.327469,148.93887
BBQ125,Barton,Telopea Park,Electric,"(-35.314874, 149.137697)",-35.314874,149.137697
BBQ198,Kowen (Rural Dist.),Molonglo Gorge Nature Reserve,Wood,"(-35.322634, 149.245355)",-35.322634,149.245355
BBQ267,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325829, 148.947127)",-35.325829,148.947127
BBQ315,Coree (Rural Dist.),Swamp Creek,Wood,"(-35.242743, 148.951185)",-35.242743,148.951185
BBQ219,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325934, 148.946764)",-35.325934,148.946764
BBQ209,Coree (Rural Dist.),Uriarra West Shelter 3,Wood,"(-35.246097, 148.951412)",-35.246097,148.951412
BBQ220,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326191, 148.946885)",-35.326191,148.946885
BBQ346,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.325674, 148.948255)",-35.325674,148.948255
BBQ239,Coree (Rural Dist.),Blue Range Hut,Gas,"(-35.289566, 148.875925)",-35.289566,148.875925
BBQ313,Coree (Rural Dist.),Uriarra West Shelter 1,Wood,"(-35.244347, 148.950989)",-35.244347,148.950989
BBQ186,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.32577, 148.947384)",-35.32577,148.947384
BBQ217,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.326013, 148.947753)",-35.326013,148.947753
BBQ183,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.322984, 148.941978)",-35.322984,148.941978
BBQ461,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662885, 148.988792)",-35.662885,148.988792
BBQ331,Paddys River (Rural Dist.),Blewitts Picnic Area,Wood,"(-35.444347, 148.923484)",-35.444347,148.923484
BBQ141,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.583036, 148.974264)",-35.583036,148.974264
