ASSET ID,FEATURE TYPE,DIVISION NAME,LOCATION NAME,Location 1,LATITUDE,LONGITUDE
SEAT4971,SEAT,CAMPBELL,PENTLAND STREET NEIGHBOURHOOD PARK,"(-35.288992, 149.144818)",-35.288992,149.144818
SEAT4968,SEAT,CAMPBELL,PROVAN STREET ROAD VERGE,"(-35.28918, 149.143911)",-35.28918,149.143911
SEAT4969,SEAT,CAMPBELL,PROVAN STREET NEIGHBOURHOOD PARK,"(-35.289929, 149.144054)",-35.289929,149.144054
SEAT4970,SEAT,CAMPBELL,PROVAN STREET NEIGHBOURHOOD PARK,"(-35.289925, 149.14409)",-35.289925,149.14409
SEAT4972,SEAT,DENMAN PROSPECT,BATTERHAM CRESCENT PEDESTRIAN PARKLAND,"(-35.309972, 149.022001)",-35.309972,149.022001
SEAT4973,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229394, 149.091784)",-35.229394,149.091784
SEAT4979,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229314, 149.091849)",-35.229314,149.091849
SEAT4981,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229454, 149.09191)",-35.229454,149.09191
SEAT4975,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229362, 149.091804)",-35.229362,149.091804
SEAT4977,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.22935, 149.091727)",-35.22935,149.091727
SEAT4978,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229415, 149.091799)",-35.229415,149.091799
SEAT4976,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229277, 149.091722)",-35.229277,149.091722
SEAT4974,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229345, 149.091696)",-35.229345,149.091696
SEAT4980,SEAT,LAWSON,WANDERLIGHT AVENUE NEIBOURHOOD PLAYGROUND,"(-35.229246, 149.091739)",-35.229246,149.091739
SEAT4984,SEAT,KINGSTON,TREVILLIAN QUAY PEDESTRIAN PARKLAND,"(-35.312532, 149.146782)",-35.312532,149.146782
